,Company,Ticker
800,Targa Resources,TRGP
801,Target Corporation,TGT
802,Taubman Centers,TCO
803,TCF Financial,TCF
804,Teladoc Health,TDOC
805,Teledyne Technologies,TDY
806,Teleflex,TFX
807,Telephone & Data Systems,TDS
808,Tempur Sealy International,TPX
809,Teradata,TDC
810,Teradyne,TER
811,Terex,TEX
812,Tesaro,TSRO
813,"Tesla, Inc.",TSLA
814,Texas Capital Bancshares,TCBI
815,Texas Instruments,TXN
816,Textron,TXT
817,TFS Financial Corporation,TFSL
818,The Chemours Company,CC
819,The Kraft Heinz Company,KHC
820,The Wendy's Company,WEN
821,Thermo Fisher Scientific,TMO
822,Thor Industries,THO
823,Timken Company,TKR
824,TJX Companies,TJX
825,Toll Brothers,TOL
826,Toro,TTC
827,Tractor Supply,TSCO
828,Transdigm Group,TDG
829,Transocean,RIG
830,TransUnion,TRU
831,The Travelers Companies,TRV
832,TreeHouse Foods,THS
833,Tribune Publishing Company,TPCO
834,Trimble,TRMB
835,Trinity Industries,TRN
836,Tripadvisor,TRIP
837,Synchrony Financial,SYF
838,Synopsys,SNPS
839,Synovus Financial,SNV
840,Sysco,SYY
841,Tableau Software,DATA
842,Take-Two Interactive,TTWO
843,T-Mobile US,TMUS
844,Truist Financial,TFC
845,Uber,UBER
846,UGI Corporation,UGI
847,Ulta Beauty,ULTA
848,Ultimate Software,ULTI
849,Umpqua Holdings,UMPQ
850,Under Armour (Class A),UAA
851,Under Armour (Class C),UA
852,Union Pacific,UNP
853,United Airlines Holdings,UAL
854,United Parcel Service,UPS
855,United Rentals,URI
856,U.S. Cellular,USM
857,United States Steel,X
858,United Therapeutics,UTHR
859,UnitedHealth Group,UNH
860,Uniti Group,UNIT
861,Univar Solutions,UNVR
862,Universal Display Corporation,OLED
863,Universal Health Services,UHS
864,Unum,UNM
865,Urban Outfitters,URBN
866,US Bancorp,USB
867,US Foods,USFD
868,VF Corporation,VFC
869,Vail Resorts,MTN
870,Valero Energy,VLO
871,Valmont Industries,VMI
872,Valvoline,VVV
873,Varian Medical Systems,VAR
874,Vectren,VVC
875,Veeva Systems,VEEV
876,Ventas,VTR
877,VEREIT,VER
878,Verisign,VRSN
879,Verisk Analytics,VRSK
880,Verizon Communications,VZ
881,Versum Materials,VSM
882,Vertex Pharmaceuticals,VRTX
883,ViacomCBS (Class A),VIACA
884,ViacomCBS (Class B),VIAC
885,Twilio,TWLO
886,Twitter,TWTR
887,Two Harbors Investment,TWO
888,Tyler Technologies,TYL
889,Tyson Foods,TSN
890,USG Corporation,USG
891,Ubiquiti Inc.,UI
892,"UDR, Inc.",UDR
893,Vulcan Materials,VMC
894,W. P. Carey,WPC
895,WABCO Holdings,WBC
896,Westinghouse Air Brake Technologies Corp,WAB
897,Walgreens Boots Alliance,WBA
898,Walmart,WMT
899,Waste Management,WM
900,Waters Corporation,WAT
901,Watsco,WSO
902,Wayfair,W
903,Weatherford International,WFTLF
904,Webster Bank,WBS
905,WEC Energy Group,WEC
906,Weingarten Realty,WRI
907,Welbilt,WBT
908,WellCare,WCG
909,Wells Fargo,WFC
